Case name,Alt name,source URL,summary,summary / issue,category,date (m),year,month as number,Meta...,The Board...,principle,outcome,note,no of user complaints (if listed),full abstract ,FB category,Controversy (relates to no. of google news stories),click-through link,ID,date
Holocaust Denial,Blatant Holocaust denial,https://www.oversightboard.com/decision/IG-ZJ7J6D28/,An Instagram post containing false and distorted claims about the Holocaust was left online.,"An Instagram post which contains false and distorted claims about the Holocaust. The claims question the number of victims of the Holocaust, suggesting it is not possible that six million Jewish people could have been murdered based on supposed population numbers the user quotes for before and after the Second World War. The post also questions the existence of crematoria at Auschwitz by claiming the chimneys were built after the war, and that world leaders at the time did not acknowledge the Holocaust in their memoirs. ",Hate Speech,Jan,2024,1,"left the post online after several automated and human reviews found it not violating Meta's Hate Speech policy. Some of the reviews were closed automatically due to the company’s COVID-19 automation policies. These policies, introduced at the beginning of the pandemic in 2020, automatically closed certain review jobs to reduce the volume of reports being sent to human reviewers, while keeping open potentially “high-risk” reports.  ",overturned,"the content violated Meta’s Hate Speech Community Standard, which bans Holocaust denial.",post was removed,,6," The Oversight Board has overturned Meta’s original decision to leave up an Instagram post containing false and distorted claims about the Holocaust. The Board finds that the content violated Meta’s Hate Speech Community Standard, which bans Holocaust denial. This prohibition is consistent with Meta’s human-rights responsibilities. The Board is concerned about Meta’s failure to remove this content and has questions about the effectiveness of the company’s enforcement. The Board recommends Meta take steps to ensure it is systematically measuring the accuracy of its enforcement of Holocaust denial content, at a more granular level.

About the Case

On September 8, 2020, an Instagram user posted a meme of Squidward – a cartoon character from the television series SpongeBob SquarePants. This includes a speech bubble entitled “Fun Facts About The Holocaust,” which contains false and distorted claims about the Holocaust. The claims, in English, question the number of victims of the Holocaust, suggesting it is not possible that six million Jewish people could have been murdered based on supposed population numbers the user quotes for before and after the Second World War. The post also questions the existence of crematoria at Auschwitz by claiming the chimneys were built after the war, and that world leaders at the time did not acknowledge the Holocaust in their memoirs.

On October 12, 2020, several weeks after the content was posted, Meta revised its Hate Speech Community Standard to explicitly prohibit Holocaust denial or distortion.

Since the content was posted in September 2020, users reported it six times for violating Meta’s Hate Speech policy. Four of these reports were reviewed by Meta’s automated systems that either assessed the content as non-violating or automatically closed the reports due to the company’s COVID-19 automation policies. These policies, introduced at the beginning of the pandemic in 2020, automatically closed certain review jobs to reduce the volume of reports being sent to human reviewers, while keeping open potentially “high-risk” reports.

Two of the six reports from users led to human reviewers assessing the content as non-violating. A user who reported the post in May 2023, after Meta announced it would no longer allow Holocaust denial, appealed the company’s decision to leave the content up. However, this was also automatically closed due to Meta’s COVID-19 automation policies, which were still in force in May 2023. They then appealed to the Oversight Board. 

 The Oversight Board overturns Meta’s original decision to leave up the content.

The Board recommends that Meta:

    Take technical steps to ensure that it is sufficiently and systematically measuring the accuracy of its enforcement of Holocaust denial content, to include gathering more granular details.
    Publicly confirm whether it has fully ended all COVID-19 automation policies put in place during the pandemic. 

* Case summaries provide an overview of cases and do not have precedential value. ",Hate Speech,125,https://oversightboard.com/decision/IG-ZJ7J6D28/,54,Jan 2024
Praise be to God,Problems with Praising God,https://www.oversightboard.com/decision/IG-2R3UEQRR/,"A post of a photo of a couple in bridal wear, with the caption ""alhamdulillah""(""Praise be to God"") triggered a violation of the 'promotion of dangerous organisations' protocol","An Instagram user in Pakistan posted a photo of themselves in bridal wear at a traditional pre-wedding event. The caption accompanying the post stated ""alhamdulillah"", which is an expression used by many people in Muslim and Arab societies meaning ""praise be to God"".",Dangerous individuals / organisations,Nov,2023,11,"removed for violating the company's Dangerous Organisations and Individuals policy. This policy prohibits content that contains praise, substantiative support or representation of organisations or individuals that Meta deems as dangerous.",overturned,"the content ""did not contain any references to a designated organisation or individuals"", and therefore did not violate its Dangerous Organisations and Individuals policy. ",post was restored,,," A user appealed Meta's decision to remove their Instagram post, which contains a photo of them in bridal wear, accompanied by a caption that states ""alhamdulillah"", a common expression meaning ""praise be to God"". After the Oversight Board brought the appeal to Meta's attention, the company reversed its original decision and restored the post.

Case description and background

In June 2023, an Instagram user in Pakistan posted a photo of themselves in bridal wear at a traditional pre-wedding event. The caption accompanying the post stated ""alhamdulillah"", which is an expression used by many people in Muslim and Arab societies meaning ""praise be to God"". The post received less than 1,000 views.

The post was removed for violating the company's Dangerous Organisations and Individuals policy. This policy prohibits content that contains praise, substantiative support or representation of organisations or individuals that Meta deems as dangerous.

In their statement to the Board, the user emphasised that the phrase ""alhamdulillah"" is a common cultural expression used to express gratitude and has no ""remote or direct links to a hate group, a hateful nature or any association to a dangerous organisation"". The Board would view the phrase as protected speech under Meta's Community Standards, consistent with freedom of expression and the company's value of protecting ""voice"".

The user stressed the popularity of the phrase by stating, ""this is one of the most popular phrases amongst the population of over two billion Muslims on the planet... if this is the reason the post has been removed, I consider this to be highly damaging for the Muslim population on Instagram and inherently somewhat ignorant"".

After the Board brought this case to Meta's attention, the company determined that the content ""did not contain any references to a designated organisation or individuals"", and therefore did not violate its Dangerous Organisations and Individuals policy. Subsequently, Meta restored the content to Instagram.

The Board overturns Meta's original decision to remove the content. The Board acknowledges Meta's correction of its initial error, after the Board had brought the case to Meta's attention. ",Dangerous individuals and organisations,50,https://www.oversightboard.com/decision/IG-2R3UEQRR/,75,Nov 2023
Planet of the Apes racism,Planet of the Apes racism,https://www.oversightboard.com/decision/FB-AJTD9P90/,"A post likened a group of Black individuals involved in a riot in France to the ""Planet of the Apes"".","A Facebook user posted a video that appears to have been taken from a car driving at night. The video shows the car driving through neighbourhoods until a group of Black men appear and are seen chasing the car towards the end of the footage. The caption states in English that, ""France has fell like planet of the friggin apes over there rioting in the streets running amok savages"" and writes about how ""the ones"" that make it to ""our shores"" are given housing for what the user believes to be at a significant cost. ",Hate Speech,Nov,2023,11,initially left the content on Facebook.,overturned,the content violated the Hate Speech Community Standard and its original decision to leave the content up was incorrect. ,post was removed ,,," A user appealed Meta's decision to leave up a Facebook post that likens a group of Black individuals involved in a riot in France to the ""Planet of the Apes"". After the Board brought the appeal to Meta's attention, the company reversed its original decision and removed the post.

Case description and background

In January 2023, a Facebook user posted a video that appears to have been taken from a car driving at night. The video shows the car driving through neighbourhoods until a group of Black men appear and are seen chasing the car towards the end of the footage. The caption states in English that, ""France has fell like planet of the friggin apes over there rioting in the streets running amok savages"" and writes about how ""the ones"" that make it to ""our shores"" are given housing for what the user believes to be at a significant cost. The post had under 500 views. A Facebook user reported the content.

Under Meta's Hate Speech policy, the company removes content that dehumanises people belonging to a designated protected characteristic group by comparing them to ""insects"" or ""animals in general or specific types of animals that are culturally perceived as intellectually or physically inferior (including but not limited to: Black people and apes or ape-like creatures; Jewish people and rats; Muslim people and pigs; Mexican people and worms).""

Meta initially left the content on Facebook. After the Board brought this case to Meta's attention, the company determined that the content violated the Hate Speech Community Standard and its original decision to leave the content up was incorrect. Meta explained to the Board that the caption for the video violated its Hate Speech policy by comparing the men to apes and should have been removed. The company then removed the content from Facebook.

 The Board overturns Meta's original decision to leave up the content. The Board acknowledges Meta's correction of its initial error once the Board brought the case to Meta's attention.",Hate Speech,50,https://www.oversightboard.com/decision/FB-AJTD9P90/,74,Nov 2023
Educational posts about ovulation,Overly detailed posts about ovulation,https://www.oversightboard.com/decision/BUN-8S1H6EU5/,"Two educational posts in Pakistan involving candid information about how women may visually notice when they are ovulating were removed under rules around imagery of ""sexual activity"".","For the first case, on 15 March 2023, a Facebook user based in the United States commented on a post in a Facebook group. The comment was written in English and included a photo of four different types of cervical mucus and corresponding fertility levels, with a description of each overlaid on the photo. The comment was in response to someone else's post, which asked about PCOS (polycystic ovary syndrome), fertility issues and vaginal discharge. The content had no views, no shares and had been reported once by Meta's automated systems. The group states that its purpose is to help provide women in Pakistan who suffer from ""invisible conditions"" related to reproductive health such as ""endometriosis, adenomyosis, PCOS and other menstrual issues"" with a safe space to discuss the challenges that they face and to support one another.

For the second case, on 7 March 2023, an Instagram user posted a video depicting someone's hand over a sink with vaginal discharge on the person's fingers. The caption underneath the video is written in Spanish and the headline reads, ""Ovulation – How to recognise it?"" The rest of the caption describes in detail how cervical mucus becomes clearer during ovulation, and at what point in the menstrual cycle someone can expect to be ovulating. It also describes other physiological changes that one can expect when experiencing ovulation such as an increased libido and body temperature, and difficulty sleeping. The description for the user's account says that it is dedicated to vaginal/vulvar health and period/menstruation education. The content had more than 25,000 views, no shares and had been reported once by Meta's automated systems. ",Nudity & sexual activity,Nov,2023,11,"initially removed each of the two pieces of content under its Adult Nudity and Sexual Activity policy, which prohibits ""imagery of sexual activity"" except ""in cases of medical or health context"". However, Meta acknowledged that both pieces of content fall within its allowance for sharing imagery with the presence of by-products of sexual activity (which may include vaginal secretions) in a medical or health context and restored them back to each platform. ",overturned,neither piece of content violated the Adult Nudity and Sexual Activity Community Standard and the removals were incorrect.,both posts were restored,,," In this summary decision, the Board is considering two educational posts about ovulation together. The Board believes that Meta's original decisions to remove each post makes it more difficult for people to access a highly stigmatised area of health information for women. After the Board brought these two appeals to Meta's attention, the company reversed its earlier decisions and restored both posts.

Case description and background

For the first case, on 15 March 2023, a Facebook user based in the United States commented on a post in a Facebook group. The comment was written in English and included a photo of four different types of cervical mucus and corresponding fertility levels, with a description of each overlaid on the photo. The comment was in response to someone else's post, which asked about PCOS (polycystic ovary syndrome), fertility issues and vaginal discharge. The content had no views, no shares and had been reported once by Meta's automated systems. The group states that its purpose is to help provide women in Pakistan who suffer from ""invisible conditions"" related to reproductive health such as ""endometriosis, adenomyosis, PCOS and other menstrual issues"" with a safe space to discuss the challenges that they face and to support one another.

For the second case, on 7 March 2023, an Instagram user posted a video depicting someone's hand over a sink with vaginal discharge on the person's fingers. The caption underneath the video is written in Spanish and the headline reads, ""Ovulation – How to recognise it?"" The rest of the caption describes in detail how cervical mucus becomes clearer during ovulation, and at what point in the menstrual cycle someone can expect to be ovulating. It also describes other physiological changes that one can expect when experiencing ovulation such as an increased libido and body temperature, and difficulty sleeping. The description for the user's account says that it is dedicated to vaginal/vulvar health and period/menstruation education. The content had more than 25,000 views, no shares and had been reported once by Meta's automated systems.

For both cases, Meta initially removed each of the two pieces of content under its Adult Nudity and Sexual Activity policy, which prohibits ""imagery of sexual activity"" except ""in cases of medical or health context"". However, Meta acknowledged that both pieces of content fall within its allowance for sharing imagery with the presence of by-products of sexual activity (which may include vaginal secretions) in a medical or health context and restored them back to each platform.

After the Board brought these two cases to Meta's attention, the company determined that neither piece of content violated the Adult Nudity and Sexual Activity Community Standard and the removals were incorrect. The company then restored both pieces of content to Facebook and Instagram respectively. 

 The Board overturns Meta's original decision to remove the content. The Board acknowledges Meta's correction of its initial errors once the Board brought these cases to the company's attention. ",Adult nudity and sexual activity,50,https://www.oversightboard.com/decision/BUN-8S1H6EU5/,73,Nov 2023
Mention of Al-Shabaab,Terrorist group Al-Shabaab,https://www.oversightboard.com/decision/BUN-QBBLZ8WI/,Two posts images referring to the Somali terrorist group Al-Shabaab were flagged for removal.," For the first case, in July 2023, a Facebook user, who appears to be a news outlet, posted a picture showing a weapon and military equipment lying on the ground at soldiers' feet with a caption saying ""Somali government forces"" and ""residents"" undertook a military operation and killed Al-Shabaab forces in the Mudug region of Somalia.

For the second case, also in July 2023, a Facebook user posted two pictures with a caption. The first picture shows a woman painting a black colour over a blue pillar. The second picture shows a black Al-Shabaab emblem painted over the pillar. The caption says, ""the terrorists that used to hide have come out of their holes, and the world has finally seen them"".

Harakat al-Shabaab al-Mujahideen, popularly known as Al-Shabaab, or ""the Youth"", (in Arabic) is an Islamist terrorist group with links to al-Qa'ida working to overthrow the Somali government. The group mainly operates in Somalia and has carried out several attacks in neighbouring countries. ",Dangerous individuals / organisations,Nov,2023,11,"Meta originally removed the post from Facebook, citing its Dangerous Organisations and Individuals (DOI) policy, under which the company removes content that ""praises"", ""substantively supports"" or ""represents"" individuals and organisations that the company designate as dangerous. However, the policy recognises that ""users may share content that includes references to designated dangerous organisations and individuals to report on, condemn or neutrally discuss them or their activities"". ",overturned,"the posts did not violate its policies. Although the posts refer to Al-Shabaab, a designated dangerous organisation, they do not praise Al-Shabaab but instead report on and condemn the group. Meta concluded that its initial removal was incorrect as the posts fell into the exception to the DOI policy",both posts were restored,,2,"In this summary decision, the Board reviewed two posts referring to the terrorist group Al-Shabaab. After the Board brought these two appeals to Meta's attention, the company reversed its original decisions and restored both posts.

Case description and background

For the first case, in July 2023, a Facebook user, who appears to be a news outlet, posted a picture showing a weapon and military equipment lying on the ground at soldiers' feet with a caption saying ""Somali government forces"" and ""residents"" undertook a military operation and killed Al-Shabaab forces in the Mudug region of Somalia.

For the second case, also in July 2023, a Facebook user posted two pictures with a caption. The first picture shows a woman painting a black colour over a blue pillar. The second picture shows a black Al-Shabaab emblem painted over the pillar. The caption says, ""the terrorists that used to hide have come out of their holes, and the world has finally seen them"".

Harakat al-Shabaab al-Mujahideen, popularly known as Al-Shabaab, or ""the Youth"", (in Arabic) is an Islamist terrorist group with links to al-Qa'ida working to overthrow the Somali government. The group mainly operates in Somalia and has carried out several attacks in neighbouring countries.

Meta originally removed the post from Facebook, citing its Dangerous Organisations and Individuals (DOI) policy, under which the company removes content that ""praises"", ""substantively supports"" or ""represents"" individuals and organisations that the company designate as dangerous. However, the policy recognises that ""users may share content that includes references to designated dangerous organisations and individuals to report on, condemn or neutrally discuss them or their activities"".

In their appeal to the Board, both users argued that their content did not violate Meta's Community Standards. The user in the first case described their account as a news outlet and stated that the post is a news report about the government operation against the terrorist group Al-Shabaab. The user in the second case stated that the aim of the post is to inform and raise awareness about the activities of Al-Shabaab and condemn it.

After the Board brought these two cases to Meta's attention, the company determined that the posts did not violate its policies. Although the posts refer to Al-Shabaab, a designated dangerous organisation, they do not praise Al-Shabaab but instead report on and condemn the group. Meta concluded that its initial removal was incorrect as the posts fell into the exception to the DOI policy and restored both pieces of content to the platform. 

The Board overturns Meta's original decision to remove the content. The Board acknowledges Meta's correction of its initial error once the Board brought these cases to Meta's attention. ",Dangerous individuals and organisations,100,https://www.oversightboard.com/decision/BUN-QBBLZ8WI/,72,Nov 2023
Media conspiracy cartoon,Obviously antisemitic cartoon,https://www.oversightboard.com/decision/FB-J5OOP3YZ/,"A post depicting a caricature of a Jewish man holding a music box labelled ""media"", while a monkey labelled ""BLM"" sits on his shoulder was kept on Facebook despite violating ""hate speech"" rules.","A user posted a comment containing an image which depicts a caricature of a Jewish man holding an old-fashioned music box, while a monkey rests on his shoulders. The caricature has an exaggerated hooked nose and is labelled with a Star of David inscribed with ""Jude"", resembling the badges Jewish people were forced to wear during the Holocaust. The monkey on his shoulder is labelled with ""BLM"", (the acronym for the ""Black Lives Matter"" movement) while the music box is labelled with ""media"". ",Hate Speech,Nov,2023,11,left the content online.,overturned,"the post violated its Hate Speech policy, and that its original decision to leave up the content was incorrect. ",post was removed,,," A user appealed Meta's decision to leave up a Facebook comment which is an image depicting a caricature of a Jewish man holding a music box labelled ""media"", while a monkey labelled ""BLM"" sits on his shoulder. After the Board brought the appeal to Meta's attention, the company reversed its original decision and removed the comment.

Case description and background

In May 2023, a user posted a comment containing an image which depicts a caricature of a Jewish man holding an old-fashioned music box, while a monkey rests on his shoulders. The caricature has an exaggerated hooked nose and is labelled with a Star of David inscribed with ""Jude"", resembling the badges Jewish people were forced to wear during the Holocaust. The monkey on his shoulder is labelled with ""BLM"", (the acronym for the ""Black Lives Matter"" movement) while the music box is labelled with ""media"". The comment received fewer than 100 views.

This content violates two separate elements of Meta's Hate Speech policy. Meta's Hate Speech policy prohibits content which references ""harmful stereotypes historically linked to intimidation"", such as, ""claims that Jewish people control financial, political or media institutions"". Furthermore, Meta's Hate Speech policy forbids dehumanising imagery, such as content which equates ""Black people and apes or ape-like creatures"". This content violates both elements as it insinuates that Jewish people control media institutions and equates ""BLM"" with a monkey. In their appeal to the Board, the user who reported the content stated that the content was antisemitic and racist towards Black people.

Meta initially left the content on Facebook. When the Board brought this case to Meta's attention, the company determined that the post violated its Hate Speech policy, and that its original decision to leave up the content was incorrect. The company then removed the content from Facebook.

 The Board overturns Meta's original decision to leave up the content. The Board acknowledges Meta's correction of its initial error once the Board brought this case to Meta's attention.",Hate Speech,50,https://www.oversightboard.com/decision/FB-J5OOP3YZ/,71,Nov 2023
Human trafficking in Thailand,Warnings of human trafficking in Thailand,https://www.oversightboard.com/decision/FB-ONL5YQVE/,A post calling attention to and warning about human trafficking practices in Thailand was removed. ,"A Facebook user posted in Thai about a human trafficking business targeting Thais and transporting them for sale in Myanmar. The post discusses what the user believes are common practices that the business employs, such as pressuring victims to recruit others into the business. It also makes ironic statements, such as ""if you want to be a victim of human trafficking, don't wait"". The content also contains screenshots of what appears to be messages from the business attempting to recruit victims, and of content promoting the business. ",misc,Nov,2023,11,"originally removed the post from Facebook, citing its Human Exploitation policy, under which the company removes ""[c]ontent that recruits people for, facilitates or exploits people through any of the following forms of human trafficking"", such as ""labour exploitation (including bonded labour)"". The policy defines human trafficking as ""the business of depriving someone of liberty for profit"". It allows ""content condemning or raising awareness about human trafficking or smuggling issues"". ",overturned,"while the images in isolation would violate the Human Exploitation policy, the overall context is clear, making the content non-violating. ",post was restored,,," A user appealed Meta's decision to remove a Facebook post calling attention to human trafficking practices in Thailand. The appeal underlines the importance of designing moderation systems that are sensitive to contexts of awareness-raising, irony, sarcasm and satire. After the Board brought the appeal to Meta's attention, the company reversed its earlier decision and restored the post.

Case description and background

A Facebook user posted in Thai about a human trafficking business targeting Thais and transporting them for sale in Myanmar. The post discusses what the user believes are common practices that the business employs, such as pressuring victims to recruit others into the business. It also makes ironic statements, such as ""if you want to be a victim of human trafficking, don't wait"". The content also contains screenshots of what appears to be messages from the business attempting to recruit victims, and of content promoting the business.

Meta originally removed the post from Facebook, citing its Human Exploitation policy, under which the company removes ""[c]ontent that recruits people for, facilitates or exploits people through any of the following forms of human trafficking"", such as ""labour exploitation (including bonded labour)"". The policy defines human trafficking as ""the business of depriving someone of liberty for profit"". It allows ""content condemning or raising awareness about human trafficking or smuggling issues"".

After the Board brought this case to Meta's attention, the company determined that its removal was incorrect and restored the content to Facebook. The company told the Board that, while the images in isolation would violate the Human Exploitation policy, the overall context is clear, making the content non-violating. 

 The Board overturns Meta's original decision to remove the content. The Board acknowledges Meta's correction of its initial error once the Board brought the case to the company's attention. ",Human exploitation,50,https://www.oversightboard.com/decision/FB-ONL5YQVE/,70,Nov 2023
Haitian police station video,Violence in an Haitian police station,https://www.oversightboard.com/decision/FB-LXNFAD5F/,"A video showed an outbreak of violence and threats at a Haitian police station. FB did not remove the video citing ""newsworthiness"".","A Facebook user posted a video showing people in civilian clothing entering a police station, attempting to break into a cell holding a man – who is a suspected gang member, according to Meta – and shouting ""we're going to break the lock"" and ""they're already dead"". Towards the end of the video, someone yells ""bwa kale na boudaw"", which Meta interpreted as a call for the group to ""to take action against the person 'bwa kale style' – in other words, to lynch him"". Meta also interpreted ""bwa kale"" as a reference to the civilian movement in Haiti that involves people taking justice into their own hands. The video is accompanied by a caption in Haitian Creole that includes the statement, ""the police cannot do anything"". ",Violence / Incitement / Graphic Content,Dec,2023,12,removed the video with a three-week delay,overturned,"the video did violate the company's Violence and Incitement policy. Nonetheless, the majority of the Board disagrees with Meta's assessment on the application of the newsworthiness allowance in this case. For the majority, Meta's near three-week delay in removing the content meant the risk of offline harm had diminished sufficiently for a newsworthiness allowance to be applied. ",post was restored,,," The Oversight Board has overturned Meta's decision to take down a video from Facebook showing people entering a police station in Haiti, attempting to break into a cell holding an alleged gang member and threatening them with violence. The Board finds that the video did violate the company's Violence and Incitement policy. Nonetheless, the majority of the Board disagrees with Meta's assessment on the application of the newsworthiness allowance in this case. For the majority, Meta's near three-week delay in removing the content meant the risk of offline harm had diminished sufficiently for a newsworthiness allowance to be applied. Moreover, the Board recommends that Meta assess the effectiveness and timeliness of its responses to content escalated through the Trusted Partner programme.

About the case

In May 2023, a Facebook user posted a video showing people in civilian clothing entering a police station, attempting to break into a cell holding a man – who is a suspected gang member, according to Meta – and shouting ""we're going to break the lock"" and ""they're already dead"". Towards the end of the video, someone yells ""bwa kale na boudaw"", which Meta interpreted as a call for the group to ""to take action against the person 'bwa kale style' – in other words, to lynch him"". Meta also interpreted ""bwa kale"" as a reference to the civilian movement in Haiti that involves people taking justice into their own hands. The video is accompanied by a caption in Haitian Creole that includes the statement, ""the police cannot do anything"". The post was viewed more than 500,000 times and the video around 200,000 times.

Haiti is experiencing unprecedented insecurity, with gangs taking control of territory and terrorising the population. With police unable to address the violence and, in some instances, said to be complicit, a movement has emerged that has seen ""more than 350 people [being] lynched by local people and vigilante groups"" in a four-month period this year, according to the UN High Commissioner for Human Rights. In retaliation, gangs have taken revenge on those believed to be in or sympathetic to the movement.

A Trusted Partner flagged the video to Meta as potentially violating 11 days after it was posted, warning the content might incite further violence. Meta's Trusted Partner programme is a network of non-governmental organisations, humanitarian agencies and human rights researchers from 113 countries. Meta told the Board that the ""greater the level of risk [of violence in a country], the higher the priority for developing relationships with Trusted Partners"", who can report content to the company. About eight days after the Trusted Partner's report in this case, Meta determined that the video included both a statement of intent to commit and a call for high-severity violence and removed the content from Facebook. Meta referred this case to the Board to address the difficult moderation questions raised by content related to the ""Bwa Kale"" movement in Haiti. Meta did not apply the newsworthiness allowance because the company found the risk of harm was high and outweighed the public interest value of the post, noting the ongoing pattern of violent reprisals and killings in Haiti. 

 The Oversight Board overturns Meta's decision to take down this content, requiring the post to be restored.

The Board recommends that Meta:

- Assess the timeliness and effectiveness of its responses to content escalated through the Trusted Partner programme, to address the risk of harm particularly where Meta has no or limited proactive moderation tools, processes or measures to identify and assess content.
- The Board also takes this opportunity to remind Meta of a previous recommendation, from the Russian Poem case, that calls for the company to make public an exception to its Violence and Incitement policy. This exception allows for content that ""condemns or raises awareness of violence"", but Meta requires the user to make it clear that they are posting the content for either of these two reasons. *Case summaries provide an overview of the case and do not have precedential value.",Violence / Incitement,50,https://www.oversightboard.com/decision/FB-LXNFAD5F/,68,Dec 2023
Azov removal,Ukrainian prisoners of war,https://www.oversightboard.com/decision/IG-1BMH3DQ6/,"A post asking, ""where is Azov?"" in Ukrainian - referring to at least 700 Azov soldiers who remain in Russian captivity - was removed.","An Instagram user created a post with an image of the Azov Regiment symbol. Overlaying the symbol was text in Ukrainian asking, ""where is Azov?"" The caption stated that more than 700 Azov soldiers remain in Russian captivity, with their conditions unknown. The user calls for their return, stating: ""we must scream until all the Azovs are back from captivity!""",Dangerous individuals / organisations,Dec,2023,12,"originally removed the post from Facebook under its Dangerous Organisations and Individuals (DOI) policy, which prohibits content that ""praises"", ""substantively supports"" or ""represents"" individuals and organisations that Meta designates as dangerous. ",overturned,"the Azov Regiment is no longer designated as a dangerous organisation. Additionally, Meta recognised that regardless of the Azov Regiment's designation, this post falls under the exception that allows references to dangerous individuals and organisations when discussing the human rights of individuals and members of designated entities.",post was restored,,1," A user appealed Meta's decision to remove an Instagram post asking, ""where is Azov?"" in Ukrainian. The post's caption calls for soldiers of the Azov Regiment in Russian captivity to be returned. After the Board brought the appeal to Meta's attention, the company reversed its original decision and restored the post.

Case description and background

In December 2022, an Instagram user created a post with an image of the Azov Regiment symbol. Overlaying the symbol was text in Ukrainian asking, ""where is Azov?"" The caption stated that more than 700 Azov soldiers remain in Russian captivity, with their conditions unknown. The user calls for their return, stating: ""we must scream until all the Azovs are back from captivity!""

The user appealed the removal of the post, emphasising the importance of sharing information during times of war. The user also highlighted that the content did not violate Meta's policies, as Meta allows content commenting on the Azov Regiment. The post received nearly 800 views and was detected by Meta's automated systems.

Meta originally removed the post from Facebook under its Dangerous Organisations and Individuals (DOI) policy, which prohibits content that ""praises"", ""substantively supports"" or ""represents"" individuals and organisations that Meta designates as dangerous. However, Meta allows ""discussions about the human rights of designated individuals or members of designated dangerous entities, unless the content includes other praise, substantive support or representation of designated entities or other policy violations, such as incitement to violence"".

Meta told the Board that it removed the Azov Regiment from its Dangerous Organisations and Individuals list in January 2023. A Washington Post article states that Meta now draws a distinction between the Azov Regiment, which it views as under formal control of the Ukrainian government, and other elements of the broader Azov movement, some that the company considers far-right nationalists and still designates as dangerous.

After the Board brought this case to Meta's attention, the company determined that its removal was incorrect and restored the content to Instagram. The company acknowledged that the Azov Regiment is no longer designated as a dangerous organisation. Additionally, Meta recognised that regardless of the Azov Regiment's designation, this post falls under the exception that allows references to dangerous individuals and organisations when discussing the human rights of individuals and members of designated entities.

The Board overturns Meta's original decision to remove the content. The Board acknowledges Meta's correction of its initial error once the Board brought the case to Meta's attention.",Dangerous individuals and organisations,100,https://www.oversightboard.com/decision/IG-1BMH3DQ6/,67,Dec 2023
Bengali debate about religion,Atheists challenging Islamic scholars,https://www.oversightboard.com/decision/FB-MFADK60O/,"A linked Bengali YouTube video that addressed Islamic scholars' unwillingness to discuss atheism was removed as ""harmful content""","A user who identifies themselves as an atheist and critic of religion posted a link to a YouTube video on Facebook. The thumbnail image of the video asks, in Bengali, ""Why are Islamic scholars afraid to debate the atheists on video blogs?"" and contains an image of two Islamic scholars. The caption of the post states, ""Join the premiere to get the answer!"" ",Violence / Incitement / Graphic Content,Dec,2023,12,"initially removed the content under its Coordinating Harm and Promoting Crime policy, which prohibits content ""facilitating, organising, promoting or admitting to certain criminal or harmful activities targeted at people, businesses, property or animals"". Meta acknowledged that this content does not violate this policy; although the views espoused by the atheist may be viewed as ""provocative to many Bangladeshis"". ",overturned,the content did not violate the Coordinating Harm and Promoting Crime policy and the removal was incorrect. ,post was restored,,1," A user appealed Meta's decision to remove a Facebook post with a link to a YouTube video that addressed Islamic scholars' unwillingness to discuss atheism. After the Board brought the appeal to Meta's attention, the company reversed its original decision and restored the post.

Case description and background

In May 2023, a user who identifies themselves as an atheist and critic of religion posted a link to a YouTube video on Facebook. The thumbnail image of the video asks, in Bengali, ""Why are Islamic scholars afraid to debate the atheists on video blogs?"" and contains an image of two Islamic scholars. The caption of the post states, ""Join the premiere to get the answer!"" The content had approximately 4,000 views.

In their appeal to the Board, the user claimed that the purpose of sharing the video was to promote a ""healthy debate or discussion"" with Islamic scholars, specifically on topics such as the theory of evolution and Big Bang theory. The user states that this post adheres to Facebook's Community Standards by ""promoting open discussion"". Furthermore, the user stressed that Bangladeshi atheist activists are frequently subject to censorship and physical harms.

Meta initially removed the content under its Coordinating Harm and Promoting Crime policy, which prohibits content ""facilitating, organising, promoting or admitting to certain criminal or harmful activities targeted at people, businesses, property or animals"". Meta acknowledged that this content does not violate this policy; although the views espoused by the atheist may be viewed as ""provocative to many Bangladeshis"". Meta offered no further explanation regarding why the content was removed from the platform. Although a direct attack against people based on their religious affiliation could be removed for hate speech, a different Meta policy, there is no prohibition in the company's policies against critiquing a religion's concepts or ideologies.

After the Board brought this case to Meta's attention, the company determined that the content did not violate the Coordinating Harm and Promoting Crime policy and the removal was incorrect. The company then restored the content to Facebook. 

 The Board overturns Meta's original decision to remove the content. The Board acknowledges Meta's correction of its initial error once the Board brought this case to the company's attention. The Board also urges Meta to speed up the implementation of still-open recommendations to reduce such errors. ",Coordinating Harm and Publicising Crime,50,https://www.oversightboard.com/decision/FB-MFADK60O/,66,Dec 2023
